,CRIPTOATIVO,valor_medio_operacao,total_operacoes,total_valor,meses_ativo,cluster,pontuacao_crescimento,quadrante
0,AAVE,4655.524489728285,492161.0,284723535.72999996,32,0,-99.7174740125276,Estáveis (Manter)
1,ADA,662.3138935912178,2523872.0,2157472890.0199995,47,1,23.389779333316806,Estrelas (Focar)
2,BCH,698.6679765808599,2377328.0,2048691061.3499997,47,1,-46.10373351559572,Estáveis (Manter)
3,BNB,769.0094184423175,778371.0,678998755.0899999,47,1,10096.178572187144,Estrelas (Focar)
4,BRZ,59966.363819273414,12213853.0,17332071624.86,47,1,-99.40473235577723,Estáveis (Manter)
5,BRZX,154.54860712225405,32143.0,5603655.91,18,0,160.02711654579377,Promessas (Observar)
6,BSV,513.351386501678,86557.0,64701019.269999996,47,1,-94.50535553075532,Dilemas (Reavaliar)
7,BTC,3697.0633295403163,62592509.0,152471162231.33102,48,2,258.37453436526357,Estrelas (Focar)
8,BTG,39530.28753826693,20767.0,101570377.07,18,0,395166.1553340958,Promessas (Observar)
9,BTT,564.9391370308857,613674.0,686277801.5200001,34,0,857.3912622952603,Estrelas (Focar)
10,BUSD,37516.54011785736,160216.0,3213765563.64,41,1,175.43355879170184,Promessas (Observar)
11,CBRL,5177.031206626082,133059.0,351923227.97,34,0,59146.33797726227,Promessas (Observar)
12,CHZ,1228.6866211798315,4239705.0,8367329212.34001,38,1,-21.449332551133192,Estrelas (Focar)
13,COMP,574.5731332446024,118903.0,87686525.84,33,0,20336.642554169823,Promessas (Observar)
14,CRV,1468.323424315968,246845.0,210113344.42999998,32,0,-98.70311440862618,Estáveis (Manter)
15,DAI,2583.8750450243924,204998.0,145922325.01999998,47,1,2942.371364206283,Promessas (Observar)
16,DASH,391.3008242072053,233927.0,81232671.25000001,47,1,198.64243124492646,Estrelas (Focar)
17,DCR,3570.4238627246878,194655.0,1817704825.3200002,47,1,609.2667218854768,Promessas (Observar)
18,DGB,2213.9675804019544,293364.0,157540015.49,40,1,251.59102903434066,Estrelas (Focar)
19,DOGE,412.4239427944177,2230993.0,1868234802.15,47,1,58.753207491347894,Estrelas (Focar)
20,EOS,428.2552551709851,370654.0,215454409.01999998,47,1,-57.94594347237878,Estáveis (Manter)
21,ETC,815.2462660610457,142913.0,162692790.02,46,1,261.0637773789416,Promessas (Observar)
22,ETH,1272.9660017568208,22345863.0,28575817244.9102,47,1,68.63566736140183,Estrelas (Focar)
23,FIL,1071.5998409043154,80944.0,76669750.27,29,0,-87.24530112062297,Dilemas (Reavaliar)
24,ICP,717.827235281741,124573.0,52059946.01000001,26,0,-97.94934250835627,Dilemas (Reavaliar)
25,IOTA,474.70386512832744,188364.0,130467161.17000002,47,1,-40.76567905112378,Dilemas (Reavaliar)
26,LINK,1850.770918505916,1685606.0,1694800733.5099988,47,1,-98.88221654991217,Estáveis (Manter)
27,LTC,662.4095306146515,4449698.0,3642646216.84,47,1,-42.75301224805028,Estáveis (Manter)
28,MATIC,2877.3752582704706,2485414.0,678900277.7099992,38,1,-93.73799337500246,Estáveis (Manter)
29,MBCONS02,463.9351757229455,1206.0,791715.87,5,0,-63.08393052464885,Dilemas (Reavaliar)
30,MBPRK02,617.02250720363,11440.0,5263499.66,33,0,-29.30143750190367,Promessas (Observar)
31,MBPRK03,1103.5143242954027,8180.0,5079295.0,32,0,-70.66691879742008,Dilemas (Reavaliar)
32,MBPRK04,410.5106228400535,11673.0,4103179.1299999994,33,0,-66.69048450324954,Dilemas (Reavaliar)
33,MCO2,626.0493876191823,424488.0,409397293.72999996,29,0,-88.1382798094424,Estáveis (Manter)
34,MKR,1938.2920090869527,75465.0,53542306.63,33,0,-73.91984213800123,Dilemas (Reavaliar)
35,NANO,664.5792720212305,4357.0,4838542.06,45,1,-37.77315550303201,Promessas (Observar)
36,NEO,3276.5558526119903,977.0,3229067.3499999996,45,1,602.5,Promessas (Observar)
37,NULS,637.9085024530496,362802.0,258323146.84,44,1,-94.90340371408746,Estáveis (Manter)
38,OKB,136.94657197094114,3715.0,549063.53,18,0,-48.922575718385495,Dilemas (Reavaliar)
39,OMG,629.4653717607378,319934.0,296891225.57,47,1,-6.986045117530337,Estrelas (Focar)
40,PAX,41857.038823454095,1698.0,166252898.95000005,42,1,2724.7524752475247,Promessas (Observar)
41,PAXG,1697.647640732962,319117.0,175307183.17000002,44,1,-95.64586425263249,Estáveis (Manter)
