,MÊS/ANO,Declarações_Com uso de exchanges no exterior,Declarações_Com uso de exchanges no exterior_2,Declarações_Com uso de exchanges no exterior_3,Declarações_Sem o uso de exchanges,Declarações_Sem o uso de exchanges_2,Declarações_Sem o uso de exchanges_3,Declarações_Exchanges,Total Geral,data
1,Agosto de 2019,238.23418978000004,213.38089578000003,451.61508556000007,248.68135983000005,780.6017824199998,1029.2831422499999,2469.5159004800053,3950.4141282900055,2019-08-01
2,Setembro de 2019,232.76069099999992,1762.8547652000009,1995.6154562000008,194.97923604000002,901.0565774400001,1096.0358134800001,2691.056393510003,5782.707663190004,2019-09-01
3,Outubro de 2019,285.79477663,1195.5736447599998,1481.3684213899996,304.62732463,1191.9174556800003,1496.5447803100003,3342.1288208200035,6320.042022520003,2019-10-01
4,Novembro de 2019,7.43266634,1466.6739983200005,1474.1066646600004,10.715872970000001,1026.59644797,1037.31232094,2872.4705965200005,5383.88958212,2019-11-01
5,Dezembro de 2019,80.16640866000002,1029.28886695,1109.4552756100002,87.43974571999999,2374.3814605700013,2461.821206290001,2879.2566939500016,6450.533175850003,2019-12-01
6,Janeiro de 2020,148.07367662000001,1557.1550437500005,1705.2287203700005,596.5561325400004,1461.4356150099998,2057.99174755,3250.691627090006,7013.912095010006,2020-01-01
7,Fevereiro de 2020,83.17486182000002,2793.2491592700003,2876.42402109,91.36971975000004,944.4227342999995,1035.7924540499996,2502.5920330000035,6414.808508140003,2020-02-01
8,Março de 2020,46.15403395000002,3608.4198282500006,3654.573862200001,191.30209047999986,1089.5997432300003,1280.9018337100001,2677.5791773500046,7613.0548732600055,2020-03-01
9,Abril de 2020,15.42298156,3628.92172025,3644.34470181,6.00497643,305.00381969,311.00879612,1685.2906023699984,5640.644100299998,2020-04-01
10,Maio de 2020,8.830224549999999,3133.66796802,3142.49819257,13.969594110000005,401.57324987999993,415.54284398999994,2720.9929754100017,6279.034011970001,2020-05-01
11,Junho de 2020,13.429584589999996,2516.7902404599995,2530.2198250499996,9.802899450000004,899.4885991300001,909.2914985800002,3086.9482614300036,6526.4595850600035,2020-06-01
12,Julho de 2020,13.43017457,3852.9453239599984,3866.3754985299984,65.77331204000001,1096.23192559,1162.00523763,5051.01009249001,10079.390828650008,2020-07-01
13,Agosto de 2020,32.028519259999996,3485.4341165899996,3517.4626358499995,310.60311680999996,1300.888225449999,1611.4913422599989,4281.528625490014,9410.482603600012,2020-08-01
14,Setembro de 2020,13.85324554,545.2287410600001,559.0819866,100.83423166000003,1206.8539140399994,1307.6881456999995,4688.9048241400105,6555.674956440011,2020-09-01
15,Outubro de 2020,34.88161344000001,518.81745567,553.69906911,40.92165205999999,1306.8282471600003,1347.7498992200003,4291.5526183100055,6193.001586640006,2020-10-01
