,MÊS/ANO,CNPJ,CPF
0,Agosto de 2019,2261,186726
1,Setembro de 2019,2374,159377
2,Outubro de 2019,2387,128173
3,Novembro de 2019,2018,110714
4,Dezembro de 2019,3081,95064
5,Janeiro de 2020,2975,106213
6,Fevereiro de 2020,2289,106337
7,Março de 2020,2417,103211
8,Abril de 2020,1528,109435
9,Maio de 2020,1918,128222
10,Junho de 2020,2863,101474
11,Julho de 2020,3941,119373
12,Agosto de 2020,3530,129260
13,Setembro de 2020,3710,106250
14,Outubro de 2020,3376,114134
15,Novembro de 2020,4339,171441
16,Dezembro de 2020,4725,204937
17,Janeiro de 2021,4441,355116
18,Fevereiro de 2021,4641,425090
19,Março de 2021,4729,473425
20,Abril de 2021,5755,621965
21,Maio de 2021,7433,599732
22,Junho de 2021,7696,359463
23,Julho de 2021,7597,314968
24,Agosto de 2021,7178,439710
25,Setembro de 2021,7861,424608
26,Outubro de 2021,5702,533587
27,Novembro de 2021,7025,528997
28,Dezembro de 2021,8232,954177
29,Janeiro de 2022,10504,845950
30,Fevereiro de 2022,11631,646156
31,Março de 2022,14152,671371
32,Abril de 2022,35120,684554
33,Maio de 2022,31032,682948
34,Junho de 2022,32053,1003328
35,Julho de 2022,32769,1504596
36,Agosto de 2022,38196,503757
37,Setembro de 2022,41403,1589080
38,Outubro de 2022,43633,1351806
39,Novembro de 2022,49981,1255984
40,Dezembro de 2022,65534,1128976
41,Janeiro de 2023,48945,1444680
42,Fevereiro de 2023,51599,1205368
43,Março de 2023,63957,1616180
44,Abril de 2023,72074,2016684
45,Maio de 2023,83851,1932068
46,Junho de 2023,89096,3217633
47,Julho de 2023,2,3
