,Período,% Nº Operações_Feminino,% Nº Operações_Masculino,% Valor Operações_Feminino,% Valor Operações_Masculino,Ticket_Medio_Feminino,Ticket_Medio_Masculino
0,Agosto de 2019,11.233751427021316,88.76624857297868,17.89032083220361,82.10967916779639,1.5925508899165055,0.9250101304021017
1,Setembro de 2019,9.873887775344642,90.12611222465536,10.4593512808487,89.5406487191513,1.059294121912746,0.9935039525055216
2,Outubro de 2019,11.209669430756799,88.7903305692432,8.230888854604611,91.76911114539539,0.7342668671406949,1.0335484794014724
3,Novembro de 2019,10.44521910265268,89.55478089734731,14.204341294181988,85.79565870581801,1.3598892617364662,0.9580243270782135
4,Dezembro de 2019,10.927000576900546,89.07299942309945,11.719093912659147,88.28090608734085,1.072489548269364,0.9911073687774212
5,Janeiro de 2020,11.176297118141784,88.82370288185821,7.860819931943803,92.13918006805619,0.7033474368880034,1.037326491450236
6,Fevereiro de 2020,10.908159195873017,89.09184080412699,10.653443451274201,89.3465565487258,0.9766490624105317,1.0028590243764164
7,Março de 2020,11.843580273162498,88.1564197268375,11.689259064266052,88.31074093573395,0.9869700542118892,1.0017505385243028
8,Abril de 2020,12.162489396718602,87.8375106032814,13.27010014585604,86.72989985414397,1.0910677668862978,0.9873902306482709
9,Maio de 2020,11.777196947724724,88.22280305227528,13.866995542240037,86.13300445775997,1.1774444805322755,0.9763122625646226
10,Junho de 2020,9.656318229660494,90.3436817703395,14.820419146006097,85.1795808539939,1.5347898436573344,0.9428393794103594
11,Julho de 2020,10.913173311449999,89.08682668855,13.941071315992703,86.0589286840073,1.2774534883786608,0.9660118323090762
12,Agosto de 2020,13.08409484781853,86.91590515218147,12.758243569847473,87.24175643015252,0.9750956193943071,1.003749040838964
13,Setembro de 2020,10.487381518726712,89.5126184812733,15.82361565508848,84.17638434491153,1.5088242595955113,0.9403856771603867
14,Outubro de 2020,11.493195128012966,88.50680487198703,13.965540177707187,86.03445982229282,1.215113814927604,0.9720660456190897
15,Novembro de 2020,11.976355496200709,88.02364450379929,13.203540179789519,86.79645982021049,1.1024672893166967,0.9860584654213467
16,Dezembro de 2020,10.891574912427235,89.10842508757277,13.02294805680988,86.97705194319012,1.1956900780208342,0.9760811265344662
17,Janeiro de 2021,11.34329775757928,88.65670224242072,11.737900661870878,88.26209933812912,1.0347873178263292,0.9955490911086157
18,Fevereiro de 2021,12.618211543662158,87.38178845633784,11.9789199150581,88.0210800849419,0.9493357972013744,1.0073160739771707
19,Março de 2021,11.289814817159268,88.71018518284073,11.5534059582236,88.4465940417764,1.0233476939465564,0.9970286259630611
20,Abril de 2021,11.746842330738613,88.25315766926138,11.187909364767298,88.8120906352327,0.9524184499770868,1.0063332914167897
21,Maio de 2021,10.719905771167609,89.2800942288324,10.461116007182,89.538883992818,0.9758589516074243,1.0028986278097143
22,Junho de 2021,11.665269918274339,88.33473008172567,12.912721140791152,87.08727885920885,1.1069371931602376,0.9858781339869076
23,Julho de 2021,14.108320391035404,85.8916796089646,13.297103685682291,86.70289631431771,0.9425008305121445,1.0094446482947628
24,Agosto de 2021,16.099132212188962,83.90086778781104,14.224772724054372,85.77522727594562,0.8835738806644822,1.022340168076389
25,Setembro de 2021,15.318236678668034,84.68176332133197,13.255946350057096,86.7440536499429,0.8653702529950555,1.0243534174032891
26,Outubro de 2021,15.676667548025586,84.32333245197441,14.49129782372963,85.50870217627038,0.9243863709768312,1.0140574345181517
27,Novembro de 2021,16.435275787075206,83.5647242129248,13.904818453410275,86.09518154658973,0.8460349940914957,1.0302814059101932
28,Dezembro de 2021,18.398924732114764,81.60107526788524,14.556082047251795,85.44391795274821,0.7911376484868486,1.047093039794481
29,Janeiro de 2022,18.454831395285677,81.54516860471432,15.020822386479187,84.97917761352082,0.8139235772328045,1.042111740861714
30,Fevereiro de 2022,17.90757666241504,82.09242333758496,12.541573361986163,87.45842663801383,0.7003501142792143,1.0653653904010423
31,Março de 2022,17.135414795749593,82.8645852042504,13.259685386344856,86.74031461365514,0.7738175903179125,1.0467718434823703
32,Abril de 2022,17.95670751449402,82.04329248550599,13.758526634409776,86.24147336559022,0.7662054206376296,1.0511703120742735
33,Maio de 2022,14.36631056470096,85.63368943529903,13.24068832226081,86.75931167773919,0.9216484818860952,1.0131446192481364
34,Junho de 2022,15.152404448723159,84.84759555127684,14.094300789447606,85.9056992105524,0.9301692571066029,1.0124706381176836
35,Julho de 2022,19.170518247752245,80.82948175224776,14.522661455414124,85.47733854458588,0.7575518443335205,1.0575019991663979
36,Agosto de 2022,16.84069994289228,83.15930005710771,14.074290785571497,85.92570921442851,0.8357307495114915,1.0332663833801032
37,Setembro de 2022,20.06204805881798,79.93795194118202,13.924539756408159,86.07546024359183,0.6940736915585162,1.0767784031660677
38,Outubro de 2022,21.91996149382707,78.08003850617293,15.664421890806215,84.33557810919379,0.7146190423380766,1.0801170148312147
39,Novembro de 2022,21.42958068969744,78.57041931030255,14.602480546359562,85.39751945364044,0.6814169982047247,1.0868914815940494
40,Dezembro de 2022,27.077066311104048,72.92293368889595,16.985963750275186,83.01403624972481,0.627319206413045,1.1383803702121962
41,Janeiro de 2023,25.663140754884168,74.33685924511583,17.005985704097874,82.99401429590213,0.6626619035653819,1.1164584452275619
42,Fevereiro de 2023,17.67008485881086,82.32991514118913,10.941581073699114,89.05841892630089,0.619214970450088,1.0817261110201914
43,Março de 2023,20.662978619977963,79.33702138002204,16.198100616247547,83.80189938375246,0.7839189554494551,1.056277358616021
44,Abril de 2023,10.550765024900926,89.44923497509907,16.161940296906742,83.83805970309325,1.5318263897227211,0.9372697231723909
45,Maio de 2023,12.036875989795352,87.96312401020465,17.8237022737561,82.1762977262439,1.4807581542641726,0.9342130426917373
46,Junho de 2023,15.125478938325882,84.87452106167412,16.49462467641779,83.50537532358221,1.0905191659500235,0.9838685895252709
47,Julho de 2023,0.0001,100.0,0.0001,100.0,1.0,1.0
