,CRIPTOATIVO,MÊS/ANO,Nº DE OPERAÇÕES,VALOR TOTAL DAS OPERAÇÕES,VALOR MÉDIO POR OPERAÇÃO,data,anomalia_flag,Tipo de Transação
1,AAVE,Agosto de 2020,1.0,59638.94,59638.94,2020-08-01,1,Normal
2,AAVE,Outubro de 2020,1.0,54094.04,54094.04,2020-10-01,1,Normal
3,AAVE,Janeiro de 2021,33.0,300643.99000000005,9110.42393939394,2021-01-01,1,Normal
4,AAVE,Fevereiro de 2021,129.0,974326.6899999995,7552.920077519376,2021-02-01,1,Normal
5,AAVE,Março de 2021,103.0,96846.49,940.2571844660195,2021-03-01,1,Normal
6,AAVE,Abril de 2021,2812.0,2956770.1800000006,1051.4829943101,2021-04-01,1,Normal
7,AAVE,Maio de 2021,58528.0,60910765.60999997,1040.7115501981953,2021-05-01,1,Normal
8,AAVE,Junho de 2021,23559.0,17505283.869999997,743.0401914342713,2021-06-01,1,Normal
9,AAVE,Julho de 2021,25502.0,20258343.32,794.3825315661517,2021-07-01,1,Normal
10,AAVE,Agosto de 2021,28031.0,22772344.11,812.3985626627662,2021-08-01,1,Normal
11,AAVE,Setembro de 2021,19421.0,15864672.210000006,816.8823546676282,2021-09-01,1,Normal
12,AAVE,Outubro de 2021,22173.0,20326692.39,916.7317183060479,2021-10-01,1,Normal
13,AAVE,Novembro de 2021,18359.0,13513718.589999998,736.0814091181436,2021-11-01,1,Normal
14,AAVE,Dezembro de 2021,13812.0,8878754.669999994,642.8290377932228,2021-12-01,1,Normal
15,AAVE,Janeiro de 2022,10578.0,6917507.770000001,653.9523321989035,2022-01-01,1,Normal
16,AAVE,Fevereiro de 2022,5895.0,3119682.499999998,529.2082273112804,2022-02-01,1,Normal
17,AAVE,Março de 2022,10709.0,7223580.490000002,674.5336156503877,2022-03-01,1,Normal
18,AAVE,Abril de 2022,9118.0,7000368.399999996,767.7526211888568,2022-04-01,1,Normal
19,AAVE,Maio de 2022,9132.0,34943343.93000001,3826.4721780551913,2022-05-01,1,Normal
20,AAVE,Junho de 2022,9170.0,5531661.95,603.2346728462378,2022-06-01,1,Normal
21,AAVE,Julho de 2022,10227.0,5573604.969999998,544.9892412242102,2022-07-01,1,Normal
22,AAVE,Agosto de 2022,2981.0,1473495.56,494.2957262663536,2022-08-01,1,Normal
23,AAVE,Setembro de 2022,5113.0,2923476.0699999994,571.7731410131038,2022-09-01,1,Normal
24,AAVE,Outubro de 2022,4819.0,2021070.0,419.396140278066,2022-10-01,1,Normal
25,AAVE,Novembro de 2022,12774.0,2657981.060000001,208.07742758728676,2022-11-01,1,Normal
26,AAVE,Dezembro de 2022,28382.0,1609893.0400000003,56.72232541751816,2022-12-01,1,Normal
27,AAVE,Janeiro de 2023,50195.0,4681425.750000001,93.26478234883955,2023-01-01,1,Normal
28,AAVE,Fevereiro de 2023,33905.0,4654407.53,137.27790974782482,2023-02-01,1,Normal
29,AAVE,Março de 2023,22489.0,3085404.6000000006,137.19616701498512,2023-03-01,1,Normal
30,AAVE,Abril de 2023,20218.0,2229650.1199999996,110.28044910475812,2023-04-01,1,Normal
31,AAVE,Maio de 2023,14011.0,1257302.7699999993,89.73683320248371,2023-05-01,1,Normal
32,AAVE,Junho de 2023,19981.0,3346784.120000002,167.49832941294238,2023-06-01,1,Normal
33,ADA,Agosto de 2019,1087.0,267151.04000000004,245.76912603495865,2019-08-01,1,Normal
34,ADA,Setembro de 2019,1003.0,347598.36000000004,346.5586839481556,2019-09-01,1,Normal
35,ADA,Outubro de 2019,1230.0,437122.1000000003,355.38382113821166,2019-10-01,1,Normal
36,ADA,Novembro de 2019,1583.0,547112.62,345.6175742261529,2019-11-01,1,Normal
37,ADA,Dezembro de 2019,685.0,154509.02999999994,225.56062773722618,2019-12-01,1,Normal
38,ADA,Janeiro de 2020,2422.0,650258.09,268.47980594549955,2020-01-01,1,Normal
39,ADA,Fevereiro de 2020,2098.0,847721.1000000001,404.0615347950429,2020-02-01,1,Normal
40,ADA,Março de 2020,1373.0,669503.9400000001,487.6212235979607,2020-03-01,1,Normal
41,ADA,Abril de 2020,1959.0,1195218.1999999997,610.1164880040835,2020-04-01,1,Normal
42,ADA,Maio de 2020,4528.0,3391059.98,748.9090061837455,2020-05-01,1,Normal
43,ADA,Junho de 2020,6129.0,6375794.150000002,1040.2666258769787,2020-06-01,1,Normal
44,ADA,Julho de 2020,10784.0,9914486.219999999,919.3700129821957,2020-07-01,1,Normal
45,ADA,Agosto de 2020,8284.0,7320066.8,883.639159826171,2020-08-01,1,Normal
46,ADA,Setembro de 2020,3764.0,3532632.82,938.5315674814027,2020-09-01,1,Normal
47,ADA,Outubro de 2020,3136.0,2013782.02,642.1498788265307,2020-10-01,1,Normal
48,ADA,Novembro de 2020,6932.0,6049578.509999998,872.7031895556835,2020-11-01,1,Normal
49,ADA,Dezembro de 2020,6975.0,5091401.420000003,729.9500243727603,2020-12-01,1,Normal
50,ADA,Janeiro de 2021,29650.0,28857131.82000002,973.2590833052283,2021-01-01,1,Normal
51,ADA,Fevereiro de 2021,107364.0,160966995.84,1499.2641466413322,2021-02-01,1,Normal
52,ADA,Março de 2021,81103.0,112730601.16,1389.9683262024832,2021-03-01,1,Normal
53,ADA,Abril de 2021,86659.0,92354173.80999996,1065.7193575970177,2021-04-01,1,Normal
54,ADA,Maio de 2021,174056.0,242467582.56000003,1393.0435179482467,2021-05-01,1,Normal
55,ADA,Junho de 2021,70056.0,81127294.31000003,1158.0349193502345,2021-06-01,1,Normal
56,ADA,Julho de 2021,33812.0,35725459.279999994,1056.5911297764105,2021-07-01,1,Normal
57,ADA,Agosto de 2021,195995.0,242090164.04999992,1235.1854080461233,2021-08-01,1,Normal
58,ADA,Setembro de 2021,160233.0,186045509.85000005,1161.0935940162142,2021-09-01,1,Normal
59,ADA,Outubro de 2021,249500.0,209599036.25999966,840.0762976352692,2021-10-01,1,Normal
60,ADA,Novembro de 2021,234624.0,203861548.65999976,868.8861696160656,2021-11-01,1,Normal
61,ADA,Dezembro de 2021,128310.0,81324376.40999989,633.811678045358,2021-12-01,1,Normal
62,ADA,Janeiro de 2022,108431.0,73150338.63,674.6256940358384,2022-01-01,1,Normal
63,ADA,Fevereiro de 2022,68054.0,59830700.45000003,879.1650814059428,2022-02-01,1,Normal
64,ADA,Março de 2022,72251.0,32177728.940000016,445.3603263622651,2022-03-01,1,Normal
65,ADA,Abril de 2022,51541.0,19080084.690000005,370.19236510739034,2022-04-01,1,Normal
66,ADA,Maio de 2022,74566.0,44581408.09,597.8784981090578,2022-05-01,1,Normal
67,ADA,Junho de 2022,66863.0,34180701.11000004,511.20501787236645,2022-06-01,1,Normal
68,ADA,Julho de 2022,46185.0,20627690.349999998,446.6318144419183,2022-07-01,1,Normal
69,ADA,Agosto de 2022,19384.0,6463805.839999998,333.4608873297564,2022-08-01,1,Normal
70,ADA,Setembro de 2022,35732.0,12809767.709999992,358.495682021717,2022-09-01,1,Normal
71,ADA,Outubro de 2022,33819.0,11932837.34,352.844180490257,2022-10-01,1,Normal
72,ADA,Novembro de 2022,42571.0,18363603.840000004,431.36416433722496,2022-11-01,1,Normal
73,ADA,Dezembro de 2022,28082.0,10710890.189999996,381.414792037604,2022-12-01,1,Normal
74,ADA,Janeiro de 2023,44911.0,13761266.700000003,306.41194139520394,2023-01-01,1,Normal
75,ADA,Fevereiro de 2023,44451.0,18395791.92,413.8442761692651,2023-02-01,1,Normal
76,ADA,Março de 2023,49515.0,17626491.650000002,355.982866808038,2023-03-01,1,Normal
77,ADA,Abril de 2023,36885.0,14144936.759999996,383.4875087433915,2023-04-01,1,Normal
78,ADA,Maio de 2023,36649.0,8915897.01,243.27804332996806,2023-05-01,1,Normal
79,ADA,Junho de 2023,48648.0,14764078.389999999,303.4878800772899,2023-06-01,1,Normal
80,BCH,Agosto de 2019,53176.0,26533347.900000013,498.97224123664836,2019-08-01,1,Normal
81,BCH,Setembro de 2019,40524.0,16660938.899999991,411.13757032869387,2019-09-01,1,Normal
82,BCH,Outubro de 2019,36896.0,19626478.410000004,531.940546671726,2019-10-01,1,Normal
83,BCH,Novembro de 2019,33719.0,17647367.539999995,523.3656852219815,2019-11-01,1,Normal
84,BCH,Dezembro de 2019,16236.0,5889477.5600000005,362.74190440995324,2019-12-01,1,Normal
85,BCH,Janeiro de 2020,74117.0,55414683.87999999,747.6649605353696,2020-01-01,1,Normal
86,BCH,Fevereiro de 2020,68117.0,61715965.51,906.0288255501563,2020-02-01,1,Normal
87,BCH,Março de 2020,58306.0,54333898.160000004,931.874904126505,2020-03-01,1,Normal
88,BCH,Abril de 2020,46133.0,42589838.49000001,923.1968111763815,2020-04-01,1,Normal
89,BCH,Maio de 2020,40128.0,36858600.78,918.5257371411484,2020-05-01,1,Normal
90,BCH,Junho de 2020,17340.0,12359166.040000005,712.7546735870822,2020-06-01,1,Normal
91,BCH,Julho de 2020,26853.0,32043153.62000001,1193.2802152459692,2020-07-01,1,Normal
92,BCH,Agosto de 2020,40225.0,35673979.239999995,886.8608885021752,2020-08-01,1,Normal
93,BCH,Setembro de 2020,23400.0,14519345.100000005,620.4848333333335,2020-09-01,1,Normal
94,BCH,Outubro de 2020,22292.0,15342699.439999994,688.2603373407497,2020-10-01,1,Normal
95,BCH,Novembro de 2020,58383.0,55006824.19,942.1719368651833,2020-11-01,1,Normal
96,BCH,Dezembro de 2020,64820.0,54824236.88999998,845.7919915149641,2020-12-01,1,Normal
97,BCH,Janeiro de 2021,155575.0,145080266.6699999,932.5422893781127,2021-01-01,1,Normal
98,BCH,Fevereiro de 2021,174207.0,199449572.3299999,1144.8998738856642,2021-02-01,1,Normal
99,BCH,Março de 2021,104139.0,99501914.95999993,955.4721570209041,2021-03-01,1,Normal
100,BCH,Abril de 2021,226954.0,285053674.5799998,1255.9975791570089,2021-04-01,1,Normal
101,BCH,Maio de 2021,232220.0,356908453.2600001,1536.9410613211614,2021-05-01,1,Normal
102,BCH,Junho de 2021,46142.0,37350256.49999999,809.4633197520695,2021-06-01,1,Normal
103,BCH,Julho de 2021,33706.0,24286584.080000002,720.5418643564944,2021-07-01,1,Normal
104,BCH,Agosto de 2021,58012.0,41879117.179999985,721.9043849548367,2021-08-01,1,Normal
